City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bluff,NZ,2022-04-25 20:23:44,-46.6,168.3333,51.8,67,100,24.05
1,Atuona,PF,2022-04-25 20:23:44,-9.8,-139.0333,78.24,79,24,15.59
2,Mahebourg,MU,2022-04-25 20:23:44,-20.4081,57.7,73.69,88,40,12.66
3,Albany,US,2022-04-25 20:22:25,42.6001,-73.9662,69.3,36,100,10.0
4,Rikitea,PF,2022-04-25 20:23:41,-23.1203,-134.9692,77.16,72,76,15.7
5,Broken Hill,AU,2022-04-25 20:23:45,-31.95,141.4333,60.66,75,100,15.75
6,Port Blair,IN,2022-04-25 20:23:45,11.6667,92.75,80.64,83,20,2.3
7,Cap Malheureux,MU,2022-04-25 20:23:46,-19.9842,57.6142,78.33,69,40,21.85
8,Mataura,NZ,2022-04-25 20:23:30,-46.1927,168.8643,51.48,81,65,6.78
9,Ancud,CL,2022-04-25 20:23:46,-41.8697,-73.8203,53.22,91,100,30.98
10,Lebu,CL,2022-04-25 20:22:40,-37.6167,-73.65,55.98,73,100,22.95
11,Cape Town,ZA,2022-04-25 20:23:47,-33.9258,18.4232,60.91,70,0,11.99
12,Punta Arenas,CL,2022-04-25 20:22:22,-53.15,-70.9167,44.71,65,40,14.97
13,Salinas,US,2022-04-25 20:23:47,36.6777,-121.6555,81.01,57,0,14.97
14,Barrow,US,2022-04-25 20:21:08,71.2906,-156.7887,12.22,79,100,12.66
15,Envira,BR,2022-04-25 20:23:47,-7.3,-70.2167,83.26,79,99,1.16
16,Buala,SB,2022-04-25 20:23:48,-8.145,159.5921,80.67,82,87,4.23
17,Oranjemund,NA,2022-04-25 20:23:48,-28.55,16.4333,57.07,74,0,18.05
18,Poya,NC,2022-04-25 20:23:49,-21.35,165.15,69.13,75,96,6.4
19,Ushuaia,AR,2022-04-25 20:19:13,-54.8,-68.3,40.62,82,100,2.98
20,Georgetown,MY,2022-04-25 20:19:21,5.4112,100.3354,80.53,92,20,2.3
21,Cidreira,BR,2022-04-25 20:23:49,-30.1811,-50.2056,73.94,76,82,13.6
22,Thompson,CA,2022-04-25 20:23:50,55.7435,-97.8558,24.96,36,40,9.22
23,Te Anau,NZ,2022-04-25 20:23:50,-45.4167,167.7167,39.61,90,7,1.1
24,Busselton,AU,2022-04-25 20:22:58,-33.65,115.3333,62.01,65,100,17.58
25,Nome,US,2022-04-25 20:23:50,64.5011,-165.4064,33.17,93,100,0.0
26,Lorengau,PG,2022-04-25 20:23:51,-2.0226,147.2712,80.55,80,47,5.73
27,Ponta Do Sol,PT,2022-04-25 20:23:51,32.6667,-17.1,64.0,81,27,11.18
