City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
10,Teahupoo,PF,76.96,light rain,-17.8333,-149.2667,Vanira Lodge
12,Rikitea,PF,77.16,clear sky,-23.1203,-134.9692,People ThankYou
16,Bolobo,CD,75.56,overcast clouds,-2.1667,16.2333,Hotel de Stephen
26,Isangel,VU,76.57,overcast clouds,-19.55,169.2667,Tanna Lodge
56,Thanh Hoa,VN,76.75,broken clouds,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
73,Nabire,ID,75.22,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
116,Manado,ID,77.77,scattered clouds,1.487,124.8455,Aryaduta Hotel
131,Marihatag,PH,77.29,light rain,8.7936,126.2969,Mariner's Place & Resort
137,Langsa,ID,76.28,overcast clouds,4.4683,97.9683,OYO 3328 Hotel Mori
142,Kahului,US,77.02,light rain,20.8947,-156.47,Maui Seaside Hotel
157,Port Hedland,AU,77.05,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
184,Buique,BR,76.71,overcast clouds,-8.6231,-37.1558,Pousada Santos
194,Limbang,MY,77.11,overcast clouds,4.75,115.0,Purnama Hotel
199,Banjar,ID,77.13,overcast clouds,-8.19,114.9675,The Hamsa Resort
210,Maningrida,AU,76.95,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
213,Sibolga,ID,77.58,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
215,Auki,SB,76.8,overcast clouds,-8.7676,160.7034,Auki Motel
234,Poum,NC,76.46,overcast clouds,-20.2333,164.0167,
241,Salta,AR,77.59,clear sky,-24.7859,-65.4117,Hotel Alejandro I
244,Sambava,MG,75.16,clear sky,-14.2667,50.1667,Melrose
252,Alofi,NU,76.89,broken clouds,-19.0595,-169.9187,Taloa Heights
271,Acari,PE,75.31,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
285,Tuy Hoa,VN,77.38,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
286,Bengkulu,ID,76.51,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
288,Vacaria,BR,76.5,clear sky,-28.5122,-50.9339,Pampa Hotel
306,Makakilo City,US,77.32,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
319,Bathsheba,BB,77.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
329,Dingle,PH,76.86,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
347,Katobu,ID,75.06,overcast clouds,-4.9408,122.5276,La Ode Husein
389,Srandakan,ID,77.13,overcast clouds,-7.9386,110.2506,Puri Brata
393,Dakar,SN,76.08,clear sky,14.6937,-17.4441,Novotel Dakar
399,Loandjili,CG,77.65,light rain,-4.7561,11.8578,Résidence ARCHANGE
408,Nishihara,JP,76.68,broken clouds,26.1842,127.7558,Minshuku Agaihama
412,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
444,Noumea,NC,75.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
446,Buraydah,SA,75.65,light rain,26.326,43.975,Mövenpick Qassim
459,Playas,EC,77.22,scattered clouds,-2.6333,-80.3833,Hostal Promenade
495,Japura,ID,75.07,broken clouds,-0.3167,102.35,Rumah mbah Jamah
514,Omboue,GA,76.95,overcast clouds,-1.5746,9.2618,Hotel Olako
515,Planadas,CO,77.43,overcast clouds,3.197,-75.6451,Coffee Hotel Planadas
553,Abonnema,NG,75.99,moderate rain,4.7084,6.7931,Corper's Lodge Obonoma
566,Tagusao,PH,77.81,heavy intensity rain,9.1924,117.8141,Green Villa beach resort
570,Itoman,JP,77.4,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
581,Avera,US,76.55,clear sky,33.194,-82.5271,
586,Meulaboh,ID,77.86,broken clouds,4.1363,96.1285,Kost Pria
593,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
599,Paragominas,BR,77.31,overcast clouds,-2.9667,-47.4833,INOVA
631,Tebingtinggi,ID,76.64,broken clouds,3.3285,99.1625,Hotel Malibou tebing tinggi
649,Vanimo,PG,77.92,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
650,Adrar,MR,77.43,clear sky,20.5022,-10.0711,
654,Pakala,IN,77.49,clear sky,13.4667,79.1167,ViswanathBollineni guesthouse @
665,Gamba,GA,76.62,broken clouds,-2.65,10.0,
681,Honiara,SB,77.95,overcast clouds,-9.4333,159.95,Heritage Park Hotel
700,Karratha,AU,77.7,light rain,-20.7377,116.8463,ibis Styles Karratha
