City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Cidreira,BR,79.61,clear sky,-30.1811,-50.2056,Hotel Castelo
10,Teahupoo,PF,76.96,light rain,-17.8333,-149.2667,Vanira Lodge
12,Rikitea,PF,77.16,clear sky,-23.1203,-134.9692,People ThankYou
16,Bolobo,CD,75.56,overcast clouds,-2.1667,16.2333,Hotel de Stephen
26,Isangel,VU,76.57,overcast clouds,-19.55,169.2667,Tanna Lodge
34,Puerto Ayora,EC,78.76,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
37,Bubaque,GW,78.21,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
38,Atuona,PF,78.62,light rain,-9.8,-139.0333,Villa Enata
56,Thanh Hoa,VN,76.75,broken clouds,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
61,Caravelas,BR,78.53,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
70,Upata,VE,78.31,overcast clouds,8.0086,-62.3989,Posada Villa Nela
73,Nabire,ID,75.22,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
93,Ponta Grossa,BR,78.71,clear sky,-25.095,-50.1619,Hotel Ponta Grossa Plateau
95,Merauke,ID,78.4,overcast clouds,-8.4667,140.3333,
101,Kailua,US,78.78,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
114,Ahuimanu,US,78.78,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
116,Manado,ID,77.77,scattered clouds,1.487,124.8455,Aryaduta Hotel
120,Saint-Georges,GD,78.48,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
131,Marihatag,PH,77.29,light rain,8.7936,126.2969,Mariner's Place & Resort
137,Langsa,ID,76.28,overcast clouds,4.4683,97.9683,OYO 3328 Hotel Mori
142,Kahului,US,77.02,light rain,20.8947,-156.47,Maui Seaside Hotel
157,Port Hedland,AU,77.05,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
160,Taitung,TW,79.93,overcast clouds,22.7583,121.1444,Taitung Bali Suites Hotel
162,Kapaa,US,78.78,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
180,Teknaf,BD,78.55,few clouds,20.8624,92.3058,Forestry Guesthouse
184,Buique,BR,76.71,overcast clouds,-8.6231,-37.1558,Pousada Santos
194,Limbang,MY,77.11,overcast clouds,4.75,115.0,Purnama Hotel
199,Banjar,ID,77.13,overcast clouds,-8.19,114.9675,The Hamsa Resort
210,Maningrida,AU,76.95,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
213,Sibolga,ID,77.58,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
215,Auki,SB,76.8,overcast clouds,-8.7676,160.7034,Auki Motel
230,Odweyne,SO,79.12,scattered clouds,9.4092,45.064,Eng Hiirey House
234,Poum,NC,76.46,overcast clouds,-20.2333,164.0167,
240,Candido Mendes,BR,79.25,light rain,-1.4467,-45.7167,Quebrada Do Mlk PJL
241,Salta,AR,77.59,clear sky,-24.7859,-65.4117,Hotel Alejandro I
244,Sambava,MG,75.16,clear sky,-14.2667,50.1667,Melrose
252,Alofi,NU,76.89,broken clouds,-19.0595,-169.9187,Taloa Heights
264,Daru,PG,78.4,broken clouds,-9.0763,143.2092,Daru Lodge
271,Acari,PE,75.31,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
285,Tuy Hoa,VN,77.38,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
286,Bengkulu,ID,76.51,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
288,Vacaria,BR,76.5,clear sky,-28.5122,-50.9339,Pampa Hotel
297,Guasdualito,VE,78.76,broken clouds,7.2424,-70.7324,Hotel Cuibas
306,Makakilo City,US,77.32,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
311,Sorong,ID,78.12,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
319,Bathsheba,BB,77.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
329,Dingle,PH,76.86,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
341,Paka,MY,78.73,scattered clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
347,Katobu,ID,75.06,overcast clouds,-4.9408,122.5276,La Ode Husein
350,Port-Gentil,GA,78.76,few clouds,-0.7193,8.7815,Fengshui Residence
366,Nanakuli,US,78.75,scattered clouds,21.3906,-158.1547,Camp Pālehua
372,Dangriga,BZ,79.93,scattered clouds,16.9692,-88.2321,Chaleanor Hotel
378,Jibuti,DJ,79.36,broken clouds,11.5,42.5,Orchid Main Camp Goubet
381,Talara,PE,79.56,clear sky,-4.5772,-81.2719,Hostal Oro Negro
