City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,East London,ZA,-33.0153,27.9116,64.18,70,22,15.32,few clouds
1,College,US,64.8569,-147.8028,53.22,44,20,1.99,few clouds
2,Ushuaia,AR,-54.8,-68.3,42.46,65,40,16.11,scattered clouds
3,Naze,JP,28.3667,129.4833,63.52,74,96,12.17,light rain
4,Stokmarknes,NO,68.5646,14.9108,33.78,80,100,8.05,overcast clouds
5,Bluff,NZ,-46.6,168.3333,49.8,80,99,8.72,overcast clouds
6,Urengoy,RU,65.9667,78.3667,-0.6,99,36,6.4,scattered clouds
7,Puerto Ayora,EC,-0.7393,-90.3518,80.56,81,66,10.0,broken clouds
8,Geraldton,AU,-28.7667,114.6,61.21,51,0,18.41,clear sky
9,Sovetskiy,RU,61.3614,63.5842,25.75,87,63,4.29,broken clouds
10,Roebourne,AU,-20.7833,117.1333,75.22,62,99,10.13,overcast clouds
11,Busselton,AU,-33.65,115.3333,53.6,83,0,4.68,clear sky
12,Kalabo,ZM,-14.97,22.6814,62.33,59,2,5.53,clear sky
13,Faanui,PF,-16.4833,-151.75,81.68,72,2,19.66,light rain
14,Hobart,AU,-42.8794,147.3294,54.27,85,75,1.99,broken clouds
15,Kununurra,AU,-15.7667,128.7333,73.38,88,66,1.14,broken clouds
16,Mataura,NZ,-46.1927,168.8643,49.48,77,99,3.76,overcast clouds
17,Cape Town,ZA,-33.9258,18.4232,59.11,90,75,5.75,broken clouds
18,Ganzhou,CN,28.8184,115.4327,57.42,92,100,4.41,overcast clouds
19,Qui Nhon,VN,13.7667,109.2333,77.99,90,100,4.43,overcast clouds
20,Qaqortoq,GL,60.7167,-46.0333,39.2,87,90,3.53,overcast clouds
21,Saint-Augustin,CA,51.226,-58.6502,36.32,90,100,19.22,overcast clouds
22,Albany,US,42.6001,-73.9662,58.44,15,0,1.99,clear sky
23,Homer,US,59.6425,-151.5483,48.79,53,75,11.01,broken clouds
24,Sitka,US,57.0531,-135.33,48.09,71,40,8.05,scattered clouds
25,Turukhansk,RU,65.8167,87.9833,16.75,81,100,15.41,overcast clouds
26,Shirvan,AZ,39.9509,48.8994,63.66,58,76,4.81,broken clouds
27,Rikitea,PF,-23.1203,-134.9692,76.93,74,99,16.91,light rain
28,Kodiak,US,57.79,-152.4072,44.11,76,100,26.46,overcast clouds
29,Lamu,KE,-2.2717,40.902,82.62,81,39,11.97,scattered clouds
30,Namatanai,PG,-3.6667,152.4333,82.11,72,50,2.53,scattered clouds
31,Qaanaaq,GL,77.484,-69.3632,12.04,76,18,1.88,few clouds
32,Jardim,BR,-21.4803,-56.1381,81.16,47,50,2.98,scattered clouds
33,Castro,BR,-24.7911,-50.0119,59.77,96,95,8.43,overcast clouds
34,Bengkulu,ID,-3.8004,102.2655,75.45,90,51,4.43,broken clouds
